data\SRS\sig10_15_25\srs_103.txt;srs_103.txt;MaxSAT (Tseitin);-0,51;2,89;2,38;20;['F0', 'F1', 'F10', 'F11', 'F13', 'F14', 'F16', 'F17', 'F18', 'F19', 'F2', 'F20', 'F21', 'F22', 'F3', 'F4', 'F5', 'F6', 'F7', 'F9'];['A0:t', 'A1:f', 'A2:t', 'A3:t', 'A4:b', 'A5:f', 'A6:b', 'A7:b', 'A8:b', 'A9:b'];294
data\SRS\sig10_15_25\srs_104.txt;srs_104.txt;MaxSAT (Naiv);1,16;0,55;1,71;19;['F0', 'F1', 'F11', 'F12', 'F13', 'F14', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9'];['A0:t', 'A1:t', 'A2:t', 'A3:f', 'A4:t', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b'];157
data\SRS\sig10_15_25\srs_104.txt;srs_104.txt;MaxSAT (Tseitin);2,56;0,00;2,56;19;['F0', 'F1', 'F11', 'F12', 'F13', 'F14', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9'];['A0:t', 'A1:t', 'A2:t', 'A3:f', 'A4:t', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b'];329
data\SRS\sig10_15_25\srs_105.txt;srs_105.txt;MaxSAT (Naiv);1,89;0,00;1,89;6;['F10', 'F12', 'F13', 'F2', 'F6', 'F7'];['A0:t', 'A1:t', 'A2:t', 'A3:b', 'A4:t', 'A5:f', 'A6:t', 'A7:t', 'A8:t', 'A9:t'];125
data\SRS\sig10_15_25\srs_105.txt;srs_105.txt;MaxSAT (Tseitin);0,73;1,69;2,42;6;['F10', 'F12', 'F13', 'F2', 'F6', 'F7'];['A0:t', 'A1:t', 'A2:t', 'A3:b', 'A4:t', 'A5:f', 'A6:t', 'A7:t', 'A8:f', 'A9:t'];260
data\SRS\sig10_15_25\srs_106.txt;srs_106.txt;MaxSAT (Naiv);0,47;1,31;1,78;11;['F0', 'F1', 'F11', 'F12', 'F13', 'F14', 'F17', 'F20', 'F4', 'F6', 'F9'];['A0:t', 'A1:f', 'A2:t', 'A3:b', 'A4:t', 'A5:t', 'A6:t', 'A7:b', 'A8:t', 'A9:t'];144
data\SRS\sig10_15_25\srs_106.txt;srs_106.txt;MaxSAT (Tseitin);2,09;0,43;2,52;11;['F0', 'F1', 'F11', 'F12', 'F13', 'F14', 'F17', 'F20', 'F4', 'F6', 'F9'];['A0:t', 'A1:f', 'A2:t', 'A3:b', 'A4:t', 'A5:t', 'A6:t', 'A7:b', 'A8:t', 'A9:t'];301
data\SRS\sig10_15_25\srs_107.txt;srs_107.txt;MaxSAT (Naiv);0,29;1,20;1,49;11;['F0', 'F10', 'F11', 'F12', 'F15', 'F2', 'F3', 'F5', 'F6', 'F8', 'F9'];['A0:b', 'A1:t', 'A2:t', 'A3:b', 'A4:b', 'A5:f', 'A6:t', 'A7:t', 'A8:t', 'A9:b'];139
data\SRS\sig10_15_25\srs_107.txt;srs_107.txt;MaxSAT (Tseitin);0,87;1,92;2,79;11;['F0', 'F10', 'F11', 'F12', 'F15', 'F2', 'F3', 'F5', 'F6', 'F8', 'F9'];['A0:b', 'A1:f', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:f', 'A8:t', 'A9:b'];265
data\SRS\sig10_15_25\srs_108.txt;srs_108.txt;MaxSAT (Naiv);-0,49;3,33;2,84;23;['F0', 'F1', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F2', 'F20', 'F21', 'F22', 'F23', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8'];['A0:b', 'A1:t', 'A2:b', 'A3:b', 'A4:b', 'A5:f', 'A6:b', 'A7:b', 'A8:b', 'A9:t'];174
