filepath;filename;solver;solve-time (ms);parse-time (ms);runtime (ms);IFC;inconsistent_formulas;atoms_valued_both
data\Dataset_B\sig30_50_100\srs_38.txt;srs_38.txt;MaxSAT;0,00;1,31;1,31;65;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23', 'F24', 'F25', 'F26', 'F27', 'F28', 'F30', 'F31', 'F32', 'F33', 'F34', 'F35', 'F36', 'F37', 'F38', 'F39', 'F40', 'F41', 'F42', 'F43', 'F44', 'F45', 'F46', 'F47', 'F48', 'F49', 'F50', 'F51', 'F52', 'F53', 'F54', 'F55', 'F57', 'F58', 'F59', 'F60', 'F61', 'F62', 'F63', 'F64', 'F65', 'F66', 'F67'];['A0:b', 'A1:t', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:t', 'A10:b', 'A11:b', 'A12:t', 'A13:b', 'A14:b', 'A15:t', 'A16:b', 'A17:b', 'A18:b', 'A19:b', 'A20:b', 'A21:b', 'A22:t', 'A23:b', 'A24:b', 'A25:b', 'A26:b', 'A27:b', 'A28:t', 'A29:t']
data\Dataset_B\sig30_50_100\srs_39.txt;srs_39.txt;ASP;90,73;1,30;92,02;52;['F0', 'F1', 'F3', 'F4', 'F6', 'F9', 'F10', 'F11', 'F12', 'F13', 'F15', 'F17', 'F18', 'F19', 'F22', 'F23', 'F25', 'F26', 'F27', 'F28', 'F29', 'F30', 'F32', 'F33', 'F34', 'F36', 'F37', 'F39', 'F40', 'F41', 'F42', 'F44', 'F46', 'F48', 'F49', 'F50', 'F51', 'F52', 'F53', 'F54', 'F55', 'F56', 'F57', 'F58', 'F59', 'F60', 'F61', 'F62', 'F63', 'F64', 'F65', 'F66'];['A0:f', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:b', 'A8:t', 'A9:b', 'A10:b', 'A11:t', 'A12:t', 'A13:t', 'A14:b', 'A15:b', 'A16:t', 'A17:t', 'A18:f', 'A19:b', 'A20:t', 'A21:t', 'A22:t', 'A23:t', 'A24:f', 'A25:b', 'A26:b', 'A27:b', 'A28:b', 'A29:b']
data\Dataset_B\sig30_50_100\srs_39.txt;srs_39.txt;MaxSAT;0,00;0,00;0,00;52;['F0', 'F1', 'F3', 'F4', 'F6', 'F9', 'F10', 'F11', 'F12', 'F13', 'F15', 'F17', 'F18', 'F19', 'F22', 'F23', 'F25', 'F26', 'F27', 'F28', 'F29', 'F30', 'F32', 'F33', 'F34', 'F36', 'F37', 'F39', 'F40', 'F41', 'F42', 'F44', 'F46', 'F48', 'F49', 'F50', 'F51', 'F52', 'F53', 'F54', 'F55', 'F56', 'F57', 'F58', 'F59', 'F60', 'F61', 'F62', 'F63', 'F64', 'F65', 'F66'];['A0:f', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:t', 'A8:t', 'A9:b', 'A10:b', 'A11:t', 'A12:t', 'A13:t', 'A14:b', 'A15:b', 'A16:t', 'A17:t', 'A18:f', 'A19:b', 'A20:t', 'A21:t', 'A22:t', 'A23:t', 'A24:f', 'A25:t', 'A26:b', 'A27:b', 'A28:b', 'A29:b']
data\Dataset_B\sig30_50_100\srs_4.txt;srs_4.txt;ASP;49,16;1,27;50,43;92;['F0', 'F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F20', 'F21', 'F22', 'F23', 'F24', 'F25', 'F26', 'F27', 'F29', 'F30', 'F31', 'F32', 'F33', 'F34', 'F35', 'F36', 'F37', 'F38', 'F39', 'F40', 'F41', 'F42', 'F43', 'F44', 'F45', 'F46', 'F47', 'F48', 'F49', 'F50', 'F51', 'F52', 'F53', 'F54', 'F55', 'F56', 'F57', 'F58', 'F59', 'F60', 'F61', 'F62', 'F63', 'F64', 'F65', 'F66', 'F67', 'F68', 'F69', 'F70', 'F71', 'F73', 'F74', 'F75', 'F76', 'F77', 'F78', 'F79', 'F80', 'F81', 'F83', 'F84', 'F85', 'F86', 'F87', 'F88', 'F89', 'F90', 'F91', 'F92', 'F93', 'F94', 'F95', 'F96'];['A0:f', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:t', 'A6:b', 'A7:b', 'A8:b', 'A9:b', 'A10:b', 'A11:b', 'A12:b', 'A13:b', 'A14:b', 'A15:b', 'A16:t', 'A17:b', 'A18:b', 'A19:b', 'A20:b', 'A21:b', 'A22:t', 'A23:b', 'A24:b', 'A25:b', 'A26:b', 'A27:b', 'A28:b', 'A29:f']
data\Dataset_B\sig30_50_100\srs_4.txt;srs_4.txt;MaxSAT;0,00;1,17;1,17;92;['F0', 'F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23', 'F24', 'F25', 'F26', 'F27', 'F29', 'F30', 'F31', 'F32', 'F33', 'F34', 'F35', 'F36', 'F37', 'F38', 'F40', 'F41', 'F42', 'F43', 'F44', 'F45', 'F46', 'F47', 'F48', 'F49', 'F50', 'F51', 'F52', 'F53', 'F54', 'F55', 'F56', 'F57', 'F58', 'F59', 'F60', 'F61', 'F62', 'F63', 'F64', 'F65', 'F66', 'F67', 'F68', 'F69', 'F70', 'F71', 'F73', 'F74', 'F75', 'F76', 'F77', 'F78', 'F79', 'F80', 'F81', 'F83', 'F84', 'F85', 'F86', 'F87', 'F88', 'F89', 'F90', 'F91', 'F92', 'F93', 'F94', 'F95', 'F96'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:t', 'A6:b', 'A7:f', 'A8:b', 'A9:b', 'A10:b', 'A11:b', 'A12:b', 'A13:t', 'A14:b', 'A15:b', 'A16:t', 'A17:b', 'A18:b', 'A19:b', 'A20:b', 'A21:t', 'A22:t', 'A23:b', 'A24:f', 'A25:b', 'A26:b', 'A27:b', 'A28:f', 'A29:t']
data\Dataset_B\sig30_50_100\srs_40.txt;srs_40.txt;ASP;68,86;0,77;69,63;37;['F1', 'F3', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F19', 'F20', 'F21', 'F22', 'F23', 'F25', 'F26', 'F27', 'F28', 'F30', 'F31', 'F35', 'F36', 'F38', 'F39', 'F40', 'F43', 'F44', 'F46', 'F47', 'F49', 'F50'];['A0:b', 'A1:t', 'A2:b', 'A3:b', 'A4:t', 'A5:t', 'A6:b', 'A7:b', 'A8:f', 'A9:f', 'A10:b', 'A11:b', 'A12:t', 'A13:b', 'A14:b', 'A15:f', 'A16:t', 'A17:f', 'A19:f', 'A20:t', 'A21:t', 'A22:t', 'A23:b', 'A24:b', 'A25:b', 'A26:t', 'A27:b', 'A28:b', 'A29:f']
data\Dataset_B\sig30_50_100\srs_40.txt;srs_40.txt;MaxSAT;0,00;0,00;0,00;37;['F1', 'F3', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F19', 'F20', 'F21', 'F22', 'F23', 'F25', 'F26', 'F27', 'F28', 'F30', 'F31', 'F35', 'F36', 'F38', 'F39', 'F40', 'F43', 'F44', 'F46', 'F47', 'F49', 'F50'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:t', 'A5:t', 'A6:b', 'A7:t', 'A8:f', 'A9:f', 'A10:b', 'A11:b', 'A12:t', 'A13:b', 'A14:b', 'A15:f', 'A16:t', 'A17:f', 'A19:t', 'A20:t', 'A21:t', 'A22:t', 'A23:b', 'A24:b', 'A25:b', 'A26:t', 'A27:b', 'A28:t', 'A29:f']
data\Dataset_B\sig30_50_100\srs_41.txt;srs_41.txt;ASP;98,54;1,82;100,36;84;['F0', 'F1', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F21', 'F22', 'F23', 'F25', 'F26', 'F27', 'F28', 'F29', 'F30', 'F31', 'F32', 'F33', 'F34', 'F35', 'F36', 'F37', 'F38', 'F39', 'F41', 'F43', 'F44', 'F45', 'F46', 'F47', 'F48', 'F49', 'F50', 'F51', 'F52', 'F53', 'F55', 'F56', 'F57', 'F58', 'F59', 'F60', 'F61', 'F62', 'F63', 'F64', 'F66', 'F67', 'F68', 'F69', 'F70', 'F71', 'F72', 'F73', 'F74', 'F75', 'F76', 'F77', 'F78', 'F80', 'F81', 'F82', 'F83', 'F84', 'F85', 'F86', 'F87', 'F88', 'F89', 'F90', 'F91', 'F92'];['A0:b', 'A1:b', 'A2:b', 'A3:t', 'A4:b', 'A5:b', 'A6:b', 'A7:f', 'A8:t', 'A9:b', 'A10:b', 'A11:b', 'A12:t', 'A13:f', 'A14:t', 'A15:b', 'A16:b', 'A17:b', 'A18:b', 'A19:b', 'A20:f', 'A21:b', 'A22:b', 'A23:t', 'A24:t', 'A25:b', 'A26:b', 'A27:t', 'A28:b', 'A29:t']
data\Dataset_B\sig30_50_100\srs_41.txt;srs_41.txt;MaxSAT;1,59;4,20;5,79;84;['F0', 'F1', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F21', 'F22', 'F23', 'F25', 'F26', 'F27', 'F28', 'F29', 'F30', 'F31', 'F32', 'F33', 'F34', 'F35', 'F36', 'F37', 'F38', 'F39', 'F41', 'F43', 'F44', 'F45', 'F46', 'F47', 'F48', 'F49', 'F50', 'F51', 'F52', 'F53', 'F55', 'F56', 'F57', 'F58', 'F59', 'F60', 'F61', 'F62', 'F63', 'F64', 'F66', 'F67', 'F68', 'F69', 'F70', 'F71', 'F72', 'F73', 'F74', 'F75', 'F76', 'F77', 'F78', 'F80', 'F81', 'F82', 'F83', 'F84', 'F85', 'F86', 'F87', 'F88', 'F89', 'F90', 'F91', 'F92'];['A0:b', 'A1:b', 'A2:b', 'A3:t', 'A4:b', 'A5:b', 'A6:b', 'A7:f', 'A8:t', 'A9:t', 'A10:b', 'A11:b', 'A12:t', 'A13:f', 'A14:t', 'A15:b', 'A16:b', 'A17:b', 'A18:t', 'A19:b', 'A20:f', 'A21:b', 'A22:b', 'A23:t', 'A24:t', 'A25:b', 'A26:b', 'A27:t', 'A28:b', 'A29:t']
data\Dataset_B\sig30_50_100\srs_42.txt;srs_42.txt;ASP;56,67;1,00;57,67;45;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23', 'F24', 'F25', 'F27', 'F29', 'F32', 'F35', 'F36', 'F37', 'F38', 'F39', 'F40', 'F41', 'F44', 'F45', 'F46', 'F47', 'F48', 'F49', 'F50', 'F54', 'F55', 'F56'];['A0:t', 'A1:f', 'A2:b', 'A3:t', 'A4:b', 'A5:t', 'A6:f', 'A7:f', 'A8:b', 'A9:b', 'A10:b', 'A11:t', 'A12:b', 'A13:b', 'A14:f', 'A15:b', 'A16:t', 'A17:b', 'A18:t', 'A19:t', 'A20:b', 'A21:b', 'A22:b', 'A23:t', 'A24:t', 'A25:b', 'A26:t', 'A27:b', 'A28:b', 'A29:b']
data\Dataset_B\sig30_50_100\srs_42.txt;srs_42.txt;MaxSAT;0,00;3,07;3,07;45;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23', 'F24', 'F25', 'F27', 'F29', 'F32', 'F35', 'F36', 'F37', 'F38', 'F39', 'F40', 'F41', 'F44', 'F45', 'F46', 'F47', 'F48', 'F49', 'F50', 'F54', 'F55', 'F56'];['A0:t', 'A1:f', 'A2:b', 'A3:t', 'A4:b', 'A5:t', 'A6:f', 'A7:f', 'A8:b', 'A9:b', 'A10:b', 'A11:t', 'A12:b', 'A13:b', 'A14:f', 'A15:b', 'A16:t', 'A17:b', 'A18:t', 'A19:t', 'A20:b', 'A21:b', 'A22:b', 'A23:t', 'A24:t', 'A25:b', 'A26:t', 'A27:b', 'A28:t', 'A29:b']
data\Dataset_B\sig30_50_100\srs_43.txt;srs_43.txt;ASP;60,73;1,02;61,75;48;['F0', 'F1', 'F2', 'F3', 'F5', 'F6', 'F8', 'F9', 'F10', 'F11', 'F12', 'F15', 'F16', 'F18', 'F19', 'F20', 'F22', 'F23', 'F24', 'F25', 'F26', 'F27', 'F28', 'F29', 'F30', 'F32', 'F33', 'F35', 'F36', 'F37', 'F39', 'F41', 'F42', 'F43', 'F44', 'F45', 'F48', 'F49', 'F50', 'F52', 'F53', 'F54', 'F55', 'F56', 'F57', 'F61', 'F62', 'F63'];['A0:f', 'A1:t', 'A2:b', 'A3:b', 'A4:t', 'A5:t', 'A6:b', 'A7:t', 'A8:t', 'A9:f', 'A10:b', 'A11:t', 'A12:t', 'A13:t', 'A14:b', 'A15:b', 'A16:b', 'A17:b', 'A18:b', 'A19:t', 'A20:b', 'A21:b', 'A22:b', 'A23:b', 'A24:t', 'A25:t', 'A26:b', 'A27:b', 'A28:b', 'A29:f']
data\Dataset_B\sig30_50_100\srs_43.txt;srs_43.txt;MaxSAT;0,00;3,61;3,61;48;['F0', 'F1', 'F2', 'F3', 'F5', 'F6', 'F8', 'F9', 'F10', 'F11', 'F12', 'F15', 'F16', 'F18', 'F19', 'F20', 'F22', 'F23', 'F24', 'F25', 'F26', 'F27', 'F28', 'F29', 'F30', 'F32', 'F33', 'F35', 'F36', 'F37', 'F39', 'F41', 'F42', 'F43', 'F44', 'F45', 'F48', 'F49', 'F50', 'F52', 'F53', 'F54', 'F55', 'F56', 'F57', 'F61', 'F62', 'F63'];['A0:f', 'A1:t', 'A2:b', 'A3:b', 'A4:t', 'A5:t', 'A6:b', 'A7:t', 'A8:t', 'A9:f', 'A10:b', 'A11:t', 'A12:t', 'A13:t', 'A14:b', 'A15:b', 'A16:b', 'A17:t', 'A18:b', 'A19:t', 'A20:b', 'A21:b', 'A22:b', 'A23:b', 'A24:t', 'A25:t', 'A26:b', 'A27:t', 'A28:b', 'A29:f']
