filepath;filename;solver;solve-time (ms);parse-time (ms);runtime (ms);IFC;inconsistent_formulas;atoms_valued_both
data\Dataset_A\sig10_15_25\srs_0.txt;srs_0.txt;ASP;16,60;0,00;16,60;14;['F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F14', 'F15', 'F16'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:f', 'A5:b', 'A6:b', 'A7:t', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_0.txt;srs_0.txt;MaxSAT;1,00;1,30;2,30;14;['F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F14', 'F15', 'F16'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:f', 'A5:t', 'A6:t', 'A7:t', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_1.txt;srs_1.txt;ASP;11,49;1,00;12,49;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F10', 'F11', 'F12', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:t', 'A1:b', 'A2:f', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:f', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_1.txt;srs_1.txt;MaxSAT;1,21;1,16;2,37;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F10', 'F11', 'F12', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:t', 'A1:b', 'A2:f', 'A3:b', 'A4:f', 'A5:b', 'A6:t', 'A7:f', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_10.txt;srs_10.txt;ASP;14,83;0,00;14,83;10;['F0', 'F2', 'F3', 'F4', 'F7', 'F8', 'F11', 'F13', 'F14', 'F16'];['A0:t', 'A1:f', 'A2:b', 'A3:t', 'A4:b', 'A5:t', 'A6:f', 'A7:t', 'A8:f', 'A9:f']
data\Dataset_A\sig10_15_25\srs_10.txt;srs_10.txt;MaxSAT;0,00;1,55;1,55;10;['F0', 'F2', 'F3', 'F4', 'F7', 'F8', 'F11', 'F13', 'F14', 'F16'];['A0:t', 'A1:f', 'A2:b', 'A3:t', 'A4:b', 'A5:t', 'A6:f', 'A7:t', 'A8:f', 'A9:f']
data\Dataset_A\sig10_15_25\srs_100.txt;srs_100.txt;ASP;12,27;0,00;12,27;20;['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20'];['A0:b', 'A1:t', 'A2:t', 'A3:b', 'A4:t', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_100.txt;srs_100.txt;MaxSAT;0,00;1,34;1,34;20;['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20'];['A0:f', 'A1:t', 'A2:t', 'A3:b', 'A4:t', 'A5:b', 'A6:b', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_101.txt;srs_101.txt;ASP;16,62;0,00;16,62;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F19', 'F20', 'F21', 'F22'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:t', 'A6:f', 'A7:t', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_101.txt;srs_101.txt;MaxSAT;0,00;0,00;0,00;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F19', 'F20', 'F21', 'F22'];['A0:b', 'A1:f', 'A2:t', 'A3:b', 'A4:b', 'A5:t', 'A6:f', 'A7:t', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_102.txt;srs_102.txt;ASP;3,31;4,79;8,10;13;['F1', 'F2', 'F3', 'F5', 'F6', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F16', 'F18'];['A0:t', 'A1:b', 'A2:b', 'A3:f', 'A4:t', 'A5:t', 'A6:f', 'A7:t', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_102.txt;srs_102.txt;MaxSAT;0,00;10,69;10,69;13;['F1', 'F2', 'F3', 'F5', 'F6', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F16', 'F18'];['A0:t', 'A1:b', 'A2:b', 'A3:f', 'A4:t', 'A5:t', 'A6:f', 'A7:t', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_103.txt;srs_103.txt;ASP;15,60;1,22;16,82;20;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F9', 'F10', 'F11', 'F13', 'F14', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22'];['A0:t', 'A1:f', 'A2:t', 'A3:t', 'A4:b', 'A5:f', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_103.txt;srs_103.txt;MaxSAT;0,00;0,00;0,00;20;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F9', 'F10', 'F11', 'F13', 'F14', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22'];['A0:t', 'A1:f', 'A2:t', 'A3:t', 'A4:b', 'A5:f', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_104.txt;srs_104.txt;ASP;10,28;0,00;10,28;19;['F0', 'F1', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F11', 'F12', 'F13', 'F14', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21'];['A0:t', 'A1:t', 'A2:t', 'A3:f', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_104.txt;srs_104.txt;MaxSAT;0,84;2,24;3,08;19;['F0', 'F1', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F11', 'F12', 'F13', 'F14', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21'];['A0:t', 'A1:t', 'A2:t', 'A3:f', 'A4:t', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_105.txt;srs_105.txt;ASP;14,35;0,31;14,66;6;['F2', 'F6', 'F7', 'F10', 'F12', 'F13'];['A0:t', 'A1:t', 'A2:t', 'A3:b', 'A4:t', 'A5:f', 'A6:t', 'A7:b', 'A8:f', 'A9:t']
data\Dataset_A\sig10_15_25\srs_105.txt;srs_105.txt;MaxSAT;0,00;2,50;2,50;6;['F2', 'F6', 'F7', 'F10', 'F12', 'F13'];['A0:t', 'A1:t', 'A2:t', 'A3:b', 'A4:t', 'A5:f', 'A6:t', 'A7:t', 'A8:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_106.txt;srs_106.txt;ASP;14,91;0,00;14,91;11;['F0', 'F1', 'F4', 'F6', 'F9', 'F11', 'F12', 'F13', 'F14', 'F17', 'F20'];['A0:t', 'A1:f', 'A2:t', 'A3:b', 'A4:t', 'A5:t', 'A6:t', 'A7:b', 'A8:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_106.txt;srs_106.txt;MaxSAT;0,00;1,03;1,03;11;['F0', 'F1', 'F4', 'F6', 'F9', 'F11', 'F12', 'F13', 'F14', 'F17', 'F20'];['A0:t', 'A1:t', 'A2:t', 'A3:b', 'A4:t', 'A5:t', 'A6:t', 'A7:b', 'A8:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_107.txt;srs_107.txt;ASP;12,36;0,00;12,36;11;['F0', 'F2', 'F3', 'F5', 'F6', 'F8', 'F9', 'F10', 'F11', 'F12', 'F15'];['A0:b', 'A1:f', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:f', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_107.txt;srs_107.txt;MaxSAT;0,00;0,94;0,94;11;['F0', 'F2', 'F3', 'F5', 'F6', 'F8', 'F9', 'F10', 'F11', 'F12', 'F15'];['A0:b', 'A1:t', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:t', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_108.txt;srs_108.txt;ASP;11,63;1,50;13,12;23;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:b', 'A1:t', 'A2:b', 'A3:b', 'A4:b', 'A5:f', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_108.txt;srs_108.txt;MaxSAT;1,00;1,00;2,00;23;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:b', 'A1:t', 'A2:b', 'A3:b', 'A4:b', 'A5:f', 'A6:b', 'A7:b', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_109.txt;srs_109.txt;ASP;7,04;0,00;7,04;20;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20'];['A0:t', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_109.txt;srs_109.txt;MaxSAT;1,08;5,59;6,67;20;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20'];['A0:t', 'A1:t', 'A2:b', 'A3:b', 'A4:t', 'A5:b', 'A6:b', 'A7:b', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_11.txt;srs_11.txt;ASP;7,22;0,00;7,22;18;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17'];['A0:b', 'A1:f', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_11.txt;srs_11.txt;MaxSAT;0,00;0,31;0,31;18;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17'];['A0:b', 'A1:f', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:t', 'A8:t', 'A9:f']
data\Dataset_A\sig10_15_25\srs_110.txt;srs_110.txt;ASP;9,49;1,00;10,50;22;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21'];['A0:b', 'A1:b', 'A2:f', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:b', 'A8:b', 'A9:f']
data\Dataset_A\sig10_15_25\srs_110.txt;srs_110.txt;MaxSAT;0,00;1,08;1,08;22;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21'];['A0:b', 'A1:b', 'A2:f', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:b', 'A8:b', 'A9:f']
data\Dataset_A\sig10_15_25\srs_111.txt;srs_111.txt;ASP;10,03;0,00;10,03;13;['F0', 'F1', 'F2', 'F3', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14'];['A0:b', 'A1:b', 'A2:f', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_111.txt;srs_111.txt;MaxSAT;0,00;1,21;1,21;13;['F0', 'F1', 'F2', 'F3', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14'];['A0:f', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_112.txt;srs_112.txt;ASP;11,13;0,00;11,13;14;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F15', 'F16'];['A0:f', 'A1:t', 'A2:b', 'A3:b', 'A4:t', 'A5:t', 'A6:f', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_112.txt;srs_112.txt;MaxSAT;0,00;1,44;1,44;14;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F15', 'F16'];['A0:f', 'A1:t', 'A2:b', 'A3:b', 'A4:t', 'A5:t', 'A6:f', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_113.txt;srs_113.txt;ASP;10,10;1,25;11,34;22;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22'];['A0:b', 'A1:f', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:b', 'A7:t', 'A8:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_113.txt;srs_113.txt;MaxSAT;0,00;1,00;1,00;22;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22'];['A0:b', 'A1:f', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:t', 'A8:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_114.txt;srs_114.txt;ASP;19,73;0,00;19,73;10;['F0', 'F2', 'F6', 'F7', 'F9', 'F11', 'F13', 'F15', 'F16', 'F18'];['A0:t', 'A1:t', 'A2:f', 'A3:b', 'A4:t', 'A5:f', 'A6:b', 'A7:t', 'A8:t', 'A9:f']
data\Dataset_A\sig10_15_25\srs_114.txt;srs_114.txt;MaxSAT;1,00;1,02;2,02;10;['F0', 'F2', 'F6', 'F7', 'F9', 'F11', 'F13', 'F15', 'F16', 'F18'];['A0:t', 'A1:t', 'A2:f', 'A3:b', 'A4:f', 'A5:f', 'A6:b', 'A7:t', 'A8:t', 'A9:f']
data\Dataset_A\sig10_15_25\srs_115.txt;srs_115.txt;ASP;8,57;0,00;8,57;19;['F0', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:f', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_115.txt;srs_115.txt;MaxSAT;0,00;1,03;1,03;19;['F0', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19'];['A0:t', 'A1:b', 'A2:f', 'A3:t', 'A4:f', 'A5:t', 'A6:b', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_116.txt;srs_116.txt;ASP;23,78;1,01;24,79;10;['F4', 'F5', 'F6', 'F7', 'F9', 'F11', 'F12', 'F15', 'F17', 'F19'];['A0:t', 'A1:t', 'A2:t', 'A3:t', 'A4:b', 'A5:t', 'A6:f', 'A7:f', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_116.txt;srs_116.txt;MaxSAT;0,00;0,00;0,00;10;['F4', 'F5', 'F6', 'F7', 'F9', 'F11', 'F12', 'F15', 'F17', 'F19'];['A0:t', 'A1:t', 'A2:t', 'A3:t', 'A4:b', 'A5:t', 'A6:f', 'A7:t', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_117.txt;srs_117.txt;ASP;8,23;0,00;8,23;23;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_117.txt;srs_117.txt;MaxSAT;1,00;1,00;2,00;23;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:t', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_118.txt;srs_118.txt;ASP;13,16;1,03;14,19;20;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F9', 'F10', 'F11', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F20', 'F21', 'F22'];['A0:f', 'A1:f', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:f', 'A7:f', 'A8:b', 'A9:f']
data\Dataset_A\sig10_15_25\srs_118.txt;srs_118.txt;MaxSAT;0,00;0,00;0,00;20;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F9', 'F10', 'F11', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F20', 'F21', 'F22'];['A0:f', 'A1:f', 'A2:b', 'A3:b', 'A4:b', 'A5:b', 'A6:f', 'A7:f', 'A8:t', 'A9:f']
data\Dataset_A\sig10_15_25\srs_119.txt;srs_119.txt;ASP;10,81;0,00;10,81;18;['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19'];['A0:b', 'A1:t', 'A2:b', 'A3:b', 'A4:b', 'A5:t', 'A6:b', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_119.txt;srs_119.txt;MaxSAT;0,00;3,18;3,18;18;['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19'];['A0:b', 'A1:t', 'A2:b', 'A3:t', 'A4:b', 'A5:t', 'A6:b', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_12.txt;srs_12.txt;ASP;17,10;0,00;17,10;10;['F1', 'F3', 'F5', 'F7', 'F8', 'F9', 'F10', 'F11', 'F15', 'F16'];['A0:b', 'A1:f', 'A2:t', 'A3:b', 'A4:t', 'A5:b', 'A6:t', 'A7:f', 'A8:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_12.txt;srs_12.txt;MaxSAT;0,00;1,16;1,16;10;['F1', 'F3', 'F5', 'F7', 'F8', 'F9', 'F10', 'F11', 'F15', 'F16'];['A0:b', 'A1:f', 'A2:t', 'A3:b', 'A4:t', 'A5:f', 'A6:t', 'A7:f', 'A8:t', 'A9:t']
data\Dataset_A\sig10_15_25\srs_120.txt;srs_120.txt;ASP;10,95;0,45;11,40;19;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F15', 'F16', 'F17', 'F18', 'F20'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:f', 'A6:b', 'A7:f', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_120.txt;srs_120.txt;MaxSAT;0,00;1,00;1,00;19;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14', 'F15', 'F16', 'F17', 'F18', 'F20'];['A0:b', 'A1:b', 'A2:b', 'A3:b', 'A4:b', 'A5:f', 'A6:b', 'A7:f', 'A8:t', 'A9:b']
data\Dataset_A\sig10_15_25\srs_121.txt;srs_121.txt;ASP;5,55;0,00;5,55;15;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F11', 'F13', 'F14', 'F15', 'F17'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:t', 'A6:b', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_121.txt;srs_121.txt;MaxSAT;0,00;0,00;0,00;15;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F11', 'F13', 'F14', 'F15', 'F17'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:b', 'A5:t', 'A6:b', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_122.txt;srs_122.txt;ASP;11,97;0,00;11,97;16;['F0', 'F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F8', 'F10', 'F12', 'F13', 'F14', 'F15', 'F17', 'F18', 'F19'];['A0:f', 'A1:b', 'A2:f', 'A3:t', 'A4:b', 'A5:f', 'A6:b', 'A7:b', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_122.txt;srs_122.txt;MaxSAT;1,02;2,06;3,07;16;['F0', 'F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F8', 'F10', 'F12', 'F13', 'F14', 'F15', 'F17', 'F18', 'F19'];['A0:f', 'A1:b', 'A2:f', 'A3:t', 'A4:t', 'A5:f', 'A6:b', 'A7:b', 'A8:b', 'A9:t']
data\Dataset_A\sig10_15_25\srs_123.txt;srs_123.txt;ASP;2,07;1,02;3,10;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F10', 'F11', 'F12', 'F13', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22'];['A0:f', 'A1:b', 'A2:b', 'A3:f', 'A4:b', 'A5:b', 'A6:f', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_123.txt;srs_123.txt;MaxSAT;0,00;0,00;0,00;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F10', 'F11', 'F12', 'F13', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22'];['A0:f', 'A1:b', 'A2:b', 'A3:f', 'A4:b', 'A5:b', 'A6:f', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_124.txt;srs_124.txt;ASP;11,49;0,76;12,25;12;['F1', 'F2', 'F3', 'F5', 'F6', 'F7', 'F8', 'F9', 'F12', 'F13', 'F14', 'F15'];['A0:b', 'A1:f', 'A2:f', 'A3:t', 'A4:f', 'A5:t', 'A6:t', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_124.txt;srs_124.txt;MaxSAT;1,00;1,00;2,00;12;['F1', 'F2', 'F3', 'F5', 'F6', 'F7', 'F8', 'F9', 'F12', 'F13', 'F14', 'F15'];['A0:b', 'A1:f', 'A2:f', 'A3:t', 'A4:f', 'A5:b', 'A6:t', 'A7:b', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_125.txt;srs_125.txt;ASP;5,58;0,00;5,58;12;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F14'];['A0:b', 'A1:t', 'A2:f', 'A3:t', 'A4:f', 'A5:t', 'A6:b', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_125.txt;srs_125.txt;MaxSAT;0,00;6,46;6,46;12;['F0', 'F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F14'];['A0:b', 'A1:t', 'A2:t', 'A3:t', 'A4:f', 'A5:t', 'A6:t', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_126.txt;srs_126.txt;ASP;12,10;1,01;13,11;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:f', 'A5:b', 'A6:b', 'A7:b', 'A8:b', 'A9:f']
data\Dataset_A\sig10_15_25\srs_126.txt;srs_126.txt;MaxSAT;0,00;1,02;1,02;21;['F0', 'F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F13', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20', 'F21', 'F22', 'F23'];['A0:b', 'A1:b', 'A2:t', 'A3:b', 'A4:f', 'A5:t', 'A6:b', 'A7:b', 'A8:b', 'A9:f']
data\Dataset_A\sig10_15_25\srs_127.txt;srs_127.txt;ASP;6,89;0,00;6,89;15;['F0', 'F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16'];['A0:f', 'A1:b', 'A2:b', 'A3:t', 'A4:b', 'A5:f', 'A6:b', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_127.txt;srs_127.txt;MaxSAT;0,00;4,08;4,08;15;['F0', 'F1', 'F2', 'F3', 'F4', 'F6', 'F7', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16'];['A0:b', 'A1:b', 'A2:b', 'A3:t', 'A4:f', 'A5:f', 'A6:t', 'A7:t', 'A8:b', 'A9:b']
data\Dataset_A\sig10_15_25\srs_128.txt;srs_128.txt;ASP;4,66;0,00;4,66;13;['F0', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14'];['A0:b', 'A1:b', 'A2:f', 'A3:b', 'A4:t', 'A5:b', 'A6:t', 'A7:t', 'A8:f', 'A9:b']
data\Dataset_A\sig10_15_25\srs_128.txt;srs_128.txt;MaxSAT;0,00;0,00;0,00;13;['F0', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F14'];['A0:f', 'A1:b', 'A2:f', 'A3:b', 'A4:t', 'A5:b', 'A6:t', 'A7:t', 'A8:t', 'A9:b']
